TOP MOVIES BY YEAR
Source: www.dvdsreleasedates.com
Generated: June 2, 2026
16. Creed III (imdb: 6.7, PG-13)
17. Elemental (imdb: 7.0, PG)
18. Fast X (imdb: 5.7, PG-13)
19. Five Nights at Freddy's (imdb: 5.4, PG-13)
20. Migration (imdb: 6.6, PG)
21. Aquaman and the Lost Kingdom (imdb: 5.6, PG-13)
22. Teenage Mutant Ninja Turtles: Mutant Mayhem (imdb: 7.2, PG)
23. The Flash (imdb: 6.6, PG-13)
24. Scream VI (imdb: 6.4, R)
25. Trolls Band Together (imdb: 6.0, PG)
26. M3gan (imdb: 6.3, PG-13)
27. Dungeons & Dragons: Honor Among Thieves (imdb: 7.2, PG-13)
28. The Equalizer 3 (imdb: 6.8, R)
29. Anyone But You (imdb: 6.1, R)
30. The Nun II (imdb: 5.6, R)
31. The Marvels (imdb: 5.4, PG-13)
32. Meg 2: The Trench (imdb: 5.0, PG-13)
33. Insidious: The Red Door (imdb: 5.5, PG-13)
34. Blue Beetle (imdb: 5.9, PG-13)
35. Killers of the Flower Moon (imdb: 7.5, R)
36. Haunted Mansion (imdb: 6.0, PG-13)
37. Evil Dead Rise (imdb: 6.5, R)
38. The Exorcist: Believer (imdb: 4.8, R)
39. PAW Patrol: The Mighty Movie (imdb: 5.9, PG)
40. Cocaine Bear (imdb: 5.9, R)
41. A Man Called Otto (imdb: 7.5, PG-13)
42. Wish (imdb: 5.5, PG)
43. Napoleon (imdb: 6.3, R)
44. The Color Purple (imdb: 6.8, PG-13)
45. Shazam! Fury of the Gods (imdb: 5.9, PG-13)
46. Godzilla Minus One (imdb: 7.7, PG-13)
47. Saw X (imdb: 6.6, R)
48. Jesus Revolution (imdb: 7.1, PG-13)
49. The Boys in the Boat (imdb: 7.0, PG-13)
50. Air (imdb: 7.4, R)
51. No Hard Feelings (imdb: 6.3, R)
52. Talk to Me (imdb: 7.1, R)
53. The Boy and the Heron (imdb: 7.3, PG-13)
54. Gran Turismo (imdb: 7.1, PG-13)
55. The Boogeyman (imdb: 5.9, PG-13)
56. A Haunting in Venice (imdb: 6.5, PG-13)
57. The Creator (imdb: 6.7, PG-13)
58. 80 for Brady (imdb: 5.9, PG-13)
59. Knock at the Cabin (imdb: 6.1, R)
60. The Iron Claw (imdb: 7.5, R)
61. Renaissance: A Film by Beyonce (imdb: 8.5, NR)
62. Missing (imdb: 7.1, PG-13)
63. Plane (imdb: 6.5, R)
64. 65 (imdb: 5.4, PG-13)
65. Thanksgiving (imdb: 6.2, R)
66. My Big Fat Greek Wedding 3 (imdb: 5.2, PG-13)
67. Asteroid City (imdb: 6.4, PG-13)
68. Magic Mike's Last Dance (imdb: 5.2, R)
69. Strays (imdb: 6.3, R)
70. Priscilla (imdb: 6.4, R)
71. American Fiction (imdb: 7.5, R)
72. The Holdovers (imdb: 7.9, R)
73. Are You There God? It's Me, Margaret. (imdb: 7.3, PG-13)
74. The Pope's Exorcist (imdb: 6.1, R)
75. Ferrari (imdb: 6.4, R)
76. The Blackening (imdb: 6.0, R)
77. Book Club: The Next Chapter (imdb: 5.6, PG-13)
78. Renfield (imdb: 6.4, R)
79. The Blind (imdb: 6.3, PG-13)
80. Expend4bles (imdb: 4.8, R)
81. The Covenant (imdb: 7.5, R)
82. Champions (imdb: 6.8, PG-13)
83. Ruby Gillman, Teenage Kraken (imdb: 5.7, PG)
84. Dumb Money (imdb: 6.8, R)
85. The Last Voyage of the Demeter (imdb: 6.1, R)
86. Joy Ride (imdb: 6.4, R)
87. The Shift (imdb: 5.6, PG-13)
88. About My Father (imdb: 5.8, PG-13)
89. Bottoms (imdb: 6.7, R)
90. After Death (imdb: 6.3, PG-13)
91. Saltburn (imdb: 7.0, R)
92. His Only Son (imdb: 5.9, PG-13)
93. Past Lives (imdb: 7.8, PG-13)
94. The Machine (imdb: 5.7, R)
95. Radical (imdb: 7.8, PG-13)
96. House Party (imdb: 4.4, R)
97. Beau Is Afraid (imdb: 6.6, R)
98. Silent Night (imdb: 5.3, R)
99. The Hill (imdb: 6.7, PG)
100. Sisu (imdb: 6.9, R)

TOP MOVIES 2022
----------------------------------------
1. Top Gun: Maverick (imdb: 8.2, PG-13)
2. Avatar: The Way of Water (imdb: 7.5, PG-13)
3. Black Panther: Wakanda Forever (imdb: 6.6, PG-13)
4. Doctor Strange in the Multiverse of Madness (imdb: 6.9, PG-13)
5. Jurassic World Dominion (imdb: 5.6, PG-13)
6. Minions: The Rise of Gru (imdb: 6.5, PG)
7. The Batman (imdb: 7.8, PG-13)
8. Thor: Love and Thunder (imdb: 6.1, PG-13)
9. Sonic the Hedgehog 2 (imdb: 6.5, PG)
10. Puss in Boots: The Last Wish (imdb: 7.9, PG)
11. Black Adam (imdb: 6.1, PG-13)
12. Elvis (imdb: 7.3, PG-13)
13. Uncharted (imdb: 6.3, PG-13)
14. Nope (imdb: 6.8, R)
15. Lightyear (imdb: 6.1, PG)
16. Smile (imdb: 6.5, R)
17. The Lost City (imdb: 6.1, PG-13)
18. Bullet Train (imdb: 7.3, R)
19. The Bad Guys (imdb: 6.9, PG)
20. Fantastic Beasts: The Secrets of Dumbledore (imdb: 6.2, PG-13)
21. DC League of Super-Pets (imdb: 6.8, PG)
22. Where the Crawdads Sing (imdb: 7.2, PG-13)
23. The Black Phone (imdb: 6.9, R)
24. Scream (imdb: 6.3, R)
25. Everything Everywhere All at Once (imdb: 7.7, R)
26. Morbius (imdb: 5.1, PG-13)
27. Ticket to Paradise (imdb: 6.1, PG-13)
28. The Woman King (imdb: 6.9, PG-13)
29. Halloween Ends (imdb: 5.0, R)
30. Dog (imdb: 6.5, PG-13)
31. Jackass Forever (imdb: 6.8, R)
32. Violent Night (imdb: 6.7, R)
33. Lyle, Lyle, Crocodile (imdb: 6.1, PG)
34. Death on the Nile (imdb: 6.3, PG-13)
35. Don't Worry Darling (imdb: 6.3, R)
36. Downton Abbey: A New Era (imdb: 7.4, PG)
37. Barbarian (imdb: 7.0, R)
38. The Menu (imdb: 7.1, R)
39. Dragon Ball Super: Super Hero (imdb: 7.1, PG-13)
40. Strange World (imdb: 5.7, PG)
41. The Northman (imdb: 7.0, R)
42. The Bob's Burgers Movie (imdb: 7.0, PG-13)
43. Beast (imdb: 5.6, R)
44. The Invitation (imdb: 5.3, PG-13)
45. Whitney Houston: I Wanna Dance with Somebody (imdb: 6.6, PG-13)
46. Marry Me (imdb: 6.1, PG-13)
47. Ambulance (imdb: 6.1, R)
48. Father Stu (imdb: 6.5, PG-13)
49. The Unbearable Weight of Massive Talent (imdb: 7.0, R)
50. Devotion (imdb: 6.6, PG-13)
51. Prey for the Devil (imdb: 5.4, PG-13)
52. Moonfall (imdb: 5.2, PG-13)
53. Paws of Fury: The Legend of Hank (imdb: 5.8, PG)
54. The Whale (imdb: 7.6, R)
55. The Fabelmans (imdb: 7.5, PG-13)
56. Babylon (imdb: 7.1, R)
57. Amsterdam (imdb: 6.2, R)
58. The 355 (imdb: 5.6, PG-13)
59. Glass Onion: A Knives Out Mystery (imdb: 7.1, PG-13)
60. Easter Sunday (imdb: 5.3, PG-13)
61. One Piece Film: Red (imdb: 6.7, PG-13)
62. X (imdb: 6.5, R)
63. Bros (imdb: 6.3, R)
64. Bodies Bodies Bodies (imdb: 6.1, R)
65. RRR (imdb: 7.8, PG-13)
66. The Banshees of Inisherin (imdb: 7.6, R)
67. Mrs Harris Goes to Paris (imdb: 7.1, PG)
68. Terrifier 2 (imdb: 6.0, NR)
69. See How They Run (imdb: 6.5, PG-13)
70. Firestarter (imdb: 4.6, R)
71. Pearl (imdb: 7.0, R)
72. Redeeming Love (imdb: 6.8, PG-13)
73. Blacklight (imdb: 4.9, PG-13)
74. Till (imdb: 7.2, PG-13)
75. Three Thousand Years of Longing (imdb: 6.7, R)
76. Brahmastra Part One: Shiva (imdb: 5.6)
77. Men (imdb: 6.0, R)
78. Fall (imdb: 6.4, PG-13)
79. Memory (imdb: 5.8, R)
80. Tar (imdb: 7.4, R)
81. She Said (imdb: 7.3, R)
82. Orphan: First Kill (imdb: 5.9, R)
83. Lifemark (imdb: 6.3, PG-13)
84. The Cursed (imdb: 6.2, R)
85. Triangle of Sadness (imdb: 7.2, R)
86. Vengeance (imdb: 6.8, R)
87. Moonage Daydream (imdb: 7.6, PG-13)
88. Family Camp (imdb: 4.8, PG)
89. Cyrano (imdb: 6.4, PG-13)
90. Clerks III (imdb: 6.2, R)
91. The Outfit (imdb: 7.2, R)
92. Living (imdb: 7.2, PG-13)
93. Breaking (imdb: 6.3, PG-13)
94. Mack & Rita (imdb: 4.8, PG-13)
95. Honk for Jesus. Save Your Soul. (imdb: 5.3, R)
96. Studio 666 (imdb: 5.6, R)
97. Gigi & Nate (imdb: 6.7, PG-13)
98. The Good House (imdb: 6.4, R)
99. Emily the Criminal (imdb: 6.7, R)
100. Umma (imdb: 4.7, PG-13)

TOP MOVIES 2021
----------------------------------------
1. Spider-Man: No Way Home (imdb: 8.1, PG-13)
2. Shang-Chi and the Legend of the Ten Rings (imdb: 7.3, PG-13)
3. Venom: Let There Be Carnage (imdb: 5.9, PG-13)
4. Black Widow (imdb: 6.6, PG-13)
5. F9 (imdb: 5.2, PG-13)
6. Eternals (imdb: 6.2, PG-13)
7. Sing 2 (imdb: 7.3, PG)
8. No Time to Die (imdb: 7.3)
9. A Quiet Place Part II (imdb: 7.2, PG-13)
10. Ghostbusters: Afterlife (imdb: 7.0, PG-13)
11. Free Guy (imdb: 7.1, PG-13)
12. Jungle Cruise (imdb: 6.5, PG-13)
13. Dune (imdb: 8.0, PG-13)
14. Godzilla vs. Kong (imdb: 6.3, PG-13)
15. Encanto (imdb: 7.2, PG)
16. Halloween Kills (imdb: 5.5, R)
17. Cruella (imdb: 7.3, PG-13)
18. Space Jam: A New Legacy (imdb: 4.5)
19. The Conjuring: The Devil Made Me Do It (imdb: 6.2)
20. Candyman (imdb: 5.9, R)
21. The Boss Baby: Family Business (imdb: 5.8, PG)
22. The Addams Family 2 (imdb: 5.4, PG)
23. The Suicide Squad (imdb: 7.2, R)
24. Raya and the Last Dragon (imdb: 7.3, PG)
25. House of Gucci (imdb: 6.6, R)
26. Clifford the Big Red Dog (imdb: 5.9, PG)
27. Old (imdb: 5.8, PG-13)
28. Demon Slayer the Movie: Mugen Train (imdb: 8.2, R)
29. Tom and Jerry (imdb: 5.3)
30. The Forever Purge (imdb: 5.4, R)
31. Mortal Kombat (imdb: 6.1, R)
32. Paw Patrol: The Movie (imdb: 6.1, G)
33. Peter Rabbit 2: The Runaway (imdb: 6.2, PG)
34. West Side Story (imdb: 7.1, PG-13)
35. The Hitman's Wife's Bodyguard (imdb: 6.1, R)
36. The Matrix Resurrections (imdb: 5.6, R)
37. The King's Man (imdb: 6.3, R)
38. Don't Breathe 2 (imdb: 6.0, R)
39. In the Heights (imdb: 7.2, PG-13)
40. Snake Eyes (imdb: 5.4, PG-13)
41. Wrath of Man (imdb: 7.1, R)
42. Nobody (imdb: 7.4, R)
43. American Underdog (imdb: 7.1, PG)
44. Escape Room: Tournament of Champions (imdb: 5.8)
45. Respect (imdb: 6.6, PG-13)
46. Spiral (imdb: 5.2, R)
47. Ron's Gone Wrong (imdb: 7.1, PG)
48. Spirit Untamed (imdb: 5.5)
49. Licorice Pizza (imdb: 7.1, R)
50. The Green Knight (imdb: 6.6, R)
51. Resident Evil: Welcome to Raccoon City (imdb: 5.2, R)
52. The French Dispatch (imdb: 7.1, R)
53. The Marksman (imdb: 5.7, PG-13)
54. The Little Things (imdb: 6.3, R)
55. King Richard (imdb: 7.5, PG-13)
56. Dear Evan Hansen (imdb: 6.1, PG-13)
57. The Unholy (imdb: 5.1, PG-13)
58. Stillwater (imdb: 6.6, R)
59. Chaos Walking (imdb: 5.7, PG-13)
60. Malignant (imdb: 6.2, R)
61. Nightmare Alley (imdb: 7.0, R)
62. The Last Duel (imdb: 7.3, R)
63. Antlers (imdb: 5.9, R)
64. Last Night in Soho (imdb: 7.0, R)
65. Cry Macho (imdb: 5.7, PG-13)
66. Belfast (imdb: 7.2, PG-13)
67. The Protege (imdb: 6.1, R)
68. The Many Saints of Newark (imdb: 6.2, R)
69. Those Who Wish Me Dead (imdb: 6.0, R)
70. The Night House (imdb: 6.4, R)
71. Spencer (imdb: 6.5, R)
72. The Courier (imdb: 7.2, PG-13)
73. A Journal for Jordan (imdb: 6.0, PG-13)
74. Judas and the Black Messiah (imdb: 7.4, R)
75. Roadrunner: A Film About Anthony Bourdain (imdb: 7.7, R)
76. Copshop (imdb: 6.2, R)
77. Separation (imdb: 4.7, R)
78. Zola (imdb: 6.4, R)
79. Boogie (imdb: 5.2, R)
80. 12 Mighty Orphans (imdb: 6.9, PG-13)
81. Reminiscence (imdb: 5.9, PG-13)
82. The Girl Who Believes in Miracles (imdb: 6.2, PG)
83. Pig (imdb: 6.9, R)
84. Voyagers (imdb: 5.5)
85. The Worst Person in the World (imdb: 7.7, R)
86. Minari (imdb: 7.4, PG-13)
87. Dream Horse (imdb: 7.0, PG)
88. Finding You (imdb: 6.4, PG)
89. The Card Counter (imdb: 6.2, R)
90. Land (imdb: 6.7, PG-13)
91. The House Next Door: Meet the Blacks 2 (imdb: 4.2, R)
92. The Eyes of Tammy Faye (imdb: 6.6, PG-13)
93. Drive My Car (imdb: 7.5, NR)
94. Parallel Mothers (imdb: 7.1)
95. Nomadland (imdb: 7.3, R)
96. After We Fell (imdb: 4.8, R)
97. The Father (imdb: 8.2)
98. Queen Bees (imdb: 6.4, PG-13)
99. Here Today (imdb: 6.7, PG-13)
100. C'mon C'mon (imdb: 7.3, R)

TOP MOVIES 2020
----------------------------------------
1. Bad Boys for Life (imdb: 6.5, R)
2. 1917 (imdb: 8.2, R)
